STORE NAME,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,CENSUS TRACT,LATITUDE,LONGITUDE
NEIL'S FOOD,3500,B,7749 S HALSTED ST,60620,17031710100,41.7528304183,-87.6439505248
NEW LA ESTRELLA FOODS INC.,5800,B,3003 W 63RD ST,60629,17031660600,41.7789315569,-87.6984170935
NEW POP-IN,8784,B,413 S KEDZIE AVE,60612,17031271200,41.8754237451,-87.7058203625
NICKEL LIQUOR & MINI MART INC,10001,A,3637 W DIVISION ST,60651,17031231200,41.9026337556,-87.7179312389
NOOR MEAT,3000,B,2505 W DEVON AVE,60659,17031020802,41.9975738059,-87.6925485988
NORTHWEST FOOD & LIQUOR,3180,B,5170 W NORTH AVE,60639,17031250200,41.9096148952,-87.7554779679
"OGIES FOOD, INC",10001,A,2600 W LITHUANIAN PLAZA CT,60629,17031660900,41.7683658358,-87.6883009077
OHIO FOOD MART,3500,B,5345 W OHIO ST,60644,17031251500,41.8910492873,-87.7597328373
OLD WORLD MARKET,10001,A,5129 N BROADWAY,60640,17031031200,41.9754753986,-87.6596970117
OLIVE MOUNT MART,3000,B,3536 W 63RD ST,60629,17031660400,41.7789401249,-87.7118685723
ONE STOP,2500,B,4401 W MADISON ST,60624,17031260500,41.8804994508,-87.7355959610
ONE STOP FOOD & LIQUOR STORE,58000,A,4301 S LAKE PARK AVE,60653,17031390100,41.8168651481,-87.5986888442
ORIENTAL ASIA MARKET INC.,7500,B,4932 N SHERIDAN RD,60640,17031031200,41.9725559281,-87.6550576698
ORLEANS MARKET,3002,B,316 W ILLINOIS ST,60610,17031081800,41.8908642852,-87.6363291879
OSAMA FOOD MART,2800,B,615 E 67TH ST,60637,17031421200,41.7729575221,-87.6099733981
OUTLET KINGDOM,4000,B,3449 S HALSTED ST,60608,17031839700,41.8310749437,-87.6459711122
PAR BIRDIE FOODS,6000,B,2234 W DEVON AVE,60659,17031020500,41.9979009735,-87.6863782179
"PARK FOODS OF 71ST STREET,INC.",3500,B,2612 W 71ST ST,60629,17031660900,41.7647171389,-87.6887509815
"PARK PACKING OF CHICAGO, INC.",3500,B,1544 W 41ST ST,60609,17031842600,41.8191594443,-87.6642353554
PARKSHORE MARKET LTD,2860,B,195 N HARBOR DR,60601,17031320100,41.8861772806,-87.6155996011
PATEL BROS,5000,B,2610 W DEVON AVE,60659,17031020602,41.9977473006,-87.6952511581
PAULINA MARKET,10000,A,3501 N LINCOLN AVE,60657,17031831900,41.9452541584,-87.6723897932
PAULINA SUPER MARKET INC,7000,B,7622 N PAULINA ST,60626,17031010100,42.0200873150,-87.6732345632
PEORIA PACKING LTD,8000,B,1300 W LAKE ST,60607,17031833000,41.8855804200,-87.6589569108
PERSONAL LIQUORS INC,6000,B,4241 W MADISON ST,60624,17031260600,41.8805391992,-87.7322160373
PETERSON FOOD MART,2500,B,2534 W PETERSON AVE,60659,17031020802,41.9905852147,-87.6935345218
PETE'S FRESH MARKET,50000,A,3448 E 118TH ST,60617,17031550100,41.6810595555,-87.5393675414
PETE'S FRESH SUPERMARKET,,A,2526 W CERMAK RD,60608,17031840700,41.8521006500,-87.6890511100
PETE'S FRESH SUPERMARKET,75000,A,2526 W CERMAK RD,60608,17031840700,41.8521006532,-87.6890511106
PETE'S MARKET,10001,A,5724 S KEDZIE AVE,60629,17031630900,41.7891125480,-87.7035797266
PETE'S MEAT & GROCERY #2,7500,B,2001 W 71ST ST,60636,17031672000,41.7646961210,-87.6735927847
PETE'S PRODUCE,5000,B,1543 E 87TH ST,60619,17031480200,41.7367954576,-87.5862725091
PETE'S PRODUCE,10000,A,1411 W 87TH ST,60620,17031711400,41.7357448514,-87.6587177057
P & I FOOD & LIQUOR INC.,3000,B,4154 W DIVISION ST,60651,17031230600,41.9027068139,-87.7310180698
POLONIA FOOD MART,10001,A,1956 W ARMITAGE AVE,60622,17031832300,41.9178707156,-87.6774806152
POTASH BROS INC,10001,A,875 N STATE ST,60610,17031081201,41.8988781974,-87.6281111483
POTASH BROS. SUPERMARKET,12000,A,1525 N CLARK ST,60610,17031080201,41.9101179449,-87.6314908914
PRESTIGE LIQUORS,2900,B,7104 S WESTERN AVE,60636,17031661000,41.7644955967,-87.6833842675
PUERTO RICO FOOD & LIQUORS,2500,B,2559 W AUGUSTA BLVD,60622,17031242500,41.8992215766,-87.6917381162
QUALITY FOOD ON 71 ST INC,3000,B,2557 W 71ST ST,60629,17031661000,41.7645116769,-87.6879866550
QUICK STOP FOOD MART,3000,B,2751 W PRATT BLVD,60645,17031020601,42.0047500731,-87.6994227766
QUINTESSENCE,3000,B,1532 N PULASKI RD,60651,17031230600,41.9091077550,-87.7266341469
RAINBOW FINER FOOD & LIQUOR,3500,B,6316 S ASHLAND AVE,60636,17031671200,41.7789224055,-87.6643526811
RAINBOW GROCERY,2500,B,2003 W 69TH ST,60636,17031671500,41.7683283348,-87.6738193840
"RICH'S DELI & LIQUOR, INC",3400,B,857 N WESTERN AVE,60622,17031242400,41.8974609845,-87.6867385577
RICHWELL MARKET,7500,B,1835 S CANAL ST,60616,17031843200,41.8566571782,-87.6387533453
RIGO'S GROCERY,2500,B,2858 S LAWNDALE AVE,60623,17031301702,41.8389367453,-87.7172305546
